comment,score,hospital,en
เมื่อวานไปใช้บริการครั้งแรก ประทับหลายๆเรื่อง ทั้งด้านการบริการของพี่เจ้าหน้าที่ทุกส่วน ความสะอาดในรพ. ที่สำคัญขอบพระคุณ อ.หมอทายาทและคุณหมอเตมีย์ ทั้งสองท่านให้คำวินิจฉัยโรคแบบละเอียดมากๆค่ะ..ประทับใจมากค่ะ,5,Bangkok Hospitol,Yesterday the first time. Many stamps The service of the officer's part. Cleanliness in hospitals. The thanksgiving North. Airforce doctor and the doctor his heir. Both provide detailed diagnosis very much.. I was very impressed.
มีรถตู้บริการรับส่งรถไฟฟ้าฟรีด้วย ร้านอาหารเยอะ บริการดี๊ดี,5,Bangkok Hospitol,"A van with a free shuttle train. Good food, good service, too"
คุณหมอใจดี พยาบาลน่ารัก ตรวจสุขภาพชุดใหญ่ครั้งแรก รวดเร็วมาก,5,Bangkok Hospitol,You kind nurse's health kit first big very fast.
เจ้าหน้าที่บริการดี ขอบคุณ คุณหมอเกีรยติชัย ที่ตรวจและให้คำปรึกษาดีขอบคุณค่ะ,4,Bangkok Hospitol,"Staff great thank you doctor, I summarized the perfect finish. The examination and consultation great thanks."
คุณหมอน่ารัก ใส่ใจ และละเอียดดีมาก ๆ (เคสเรา คุณหมอวนิชา ปัญญาคำเลิศ เป็นคุณหมอที่ฝากครรภ์ ส่วนคุณหมอที่อัลตร้าซาวด์เป็นประจำ คือ คุณหมอร่มไทร) คุณพยาบาลและเจ้าหน้าที่ของ รพ. ก็อัธยาศัยดี เป็นมิตร พูดไพเราะ^^ บรรยากาศของ รพ. ก็ดี ไม่ตึงเครียด คือ ชอบมาก^^,5,Bangkok Hospitol,"Doctor's attention and detail is very good (our case, Dr. Nisha's wisdom, excellence is a doctor at ANC. The doctor at al Ultrasound is a medical Romsai), nurses and staff of the hospital was courteous, friendly, speak fluent ^^ atmosphere of the hospital. I was not tense like ^^."
บริการมืออาชีพ ทั้งหมอ พยาบาล และอื่นๆ สุดยอดค่ะ,5,Bangkok Hospitol,"Professional services include doctors, nurses and other top it."
คือติดต่อยากมาก หมอที่รักษาก็ไม่ค่อยอยู่ หมอใหม่มาก็รักษาไม่หาย,1,Bangkok Hospitol,Contact is very difficult Doctors who treat it rarely The new doctor was incurable.
ใช้บริการโรงพยาบาลนี้มากว่า 10 ปี แต่มาเจอเจ้าหน้าที่จัดคิวชำระเงินพูดจาไม่ดี ทำให้เสียความรู้สึก เพราะเจ้าหน้าที่พยาบาลบอกให้แจ้ง จนท. จัดคิวว่าไม่มียา ก็บอกไปแบบนั้น แต่ จนท. จัดคิวกับพูดจาและแสดงอาการไม่พอใจใส่ซะงั้น,2,Bangkok Hospitol,"Hospitals for more than 10 years, but the authorities have queued to pay themselves well. Makes sense The nurse told me to inform the service. Queuing no drugs. I told you that, but until. Queued to speak and show signs of discontent to me."
เราไว้ใจเราถึงมาเราเสียเงินให้โรงพยาบาลคุณไปตั้งเท่าไหร่เราไม่ได้มาขอรักษาฟรีบริการดีแต่เจ้าหน้าที่บางคนมารยาทใช้ไม่ได้ ทำให้เราเสียความรู้สึกคำพูดคุณไม่แคร์เราชักสีหน้าใส่เราถ้าเป็นแบบนี้ต่อไปใครจะอยากมาใช้บริการของคุณจะดีแค่ไหนถ้าเป็นแบบนี้ฉันก็ไม่อยากมา,1,Bangkok Hospitol,"Trust us, we have to pay for your hospital to ask how much we do not maintain a free service, but some officials have no manners. We feel bad saying you do not care, we drew on our faces as if this next one will want to use your services would be this good if I can not come."
มั่นใจคุณหมอค่ะ พยาบาลน่ารัก มีร้านขายของ ร้านอาหารหลากหลาย ไว้หลอกพาเด็กกินและซื้อของเล่นกลับบ้านจะได้ไม่รู้สึกกลัวโรงพยาบาลค่ะ,5,Bangkok Hospitol,"I assure you, Doctor, nurse, cute shops, various restaurants. The children pretend to eat and buy back will not feel afraid Hospital here."
สะอาด หรู ครบระะบบ,5,Bangkok Hospitol,Clean upscale full system
มาทุกครั้งก็สะดวกสบายทุกครั้ง ได้รับการบริการเป็นอย่างดี,5,Bangkok Hospitol,Every time I was comfortable at all times. Service was very good.
รอคิวนานมากๆ แม้ว่าจะทำการจองล่วงหน้าไว้แล้ว พนักงานไม่ค่อยสนใจคนไข้ เราพยายามจะเดินไปถามว่าเมื่อไหร่ถึงคิวเรา ก็เดินเลี่ยงๆพร้อมคำพูดว่ารอสักครู่นะคะ ถ้าไม่มีความจำเป็นไม่อยากใช้บริการที่นี่เลยค่ะ,1,Bangkok Hospitol,"Waiting for a long time, even if pre-booked already. Employees do not care patients We try to walk, we asked when the queue. He walked away with just saying, wait a minute here. If necessary, do not use it here."
สุดยอดทั้งสถานที่แพทย์บริการเยี่ยมยอด เชื่อว่าเหนือกว่าทั่วๆไปครับ,5,Bangkok Hospitol,The whole place was outstanding medical services. I believe that the superior general.
หมอให้คำปรึกษาและแนะนำการรักษา ตรงโรค ที่เป็น,4,Bangkok Hospitol,The doctor recommended counseling and treatment on a disease.
น้องๆพยาบาลทีนี้...และที่5R น่ารักมากกกกดูแลผู้ป่วยและญาติๆดีมาก..เหมือนว่า.เป็นญาติพี่น้องของคุณ..ชอบค่ะชอบมากๆ...บริการดีเยี่ยม..,5,Bangkok Hospitol,"Now, nursing students ... and 5R. Love is very patient and relatives are very good.. Like that. What is your relatives.. I like it a lot ... excellent service .."
เจ้าหน้าที่ บริการดี สุภาพ และ อ่อนน้อม แพทย์ และ ให้คำแนะนำ ในทุกคำถาม,4,Bangkok Hospitol,Staff very polite and humble and medical advice on all questions.
ค่ารักษาพยาบาลแพงขึ้นทุกครั้งที่มา แต่การบริการแย่ลงอย่างมาก แจ้งจะกลับบ้านตั้งแต่ 11.00 น. ต้องรอนู้นนี่ รอหมอ รอการเงินแจ่งค่ารักษาพยาบาล กว่าจะได้กลับจริง 16.00 น. ค่าห้องพักก็คิดไม่ตรงตามความเป็นจริง ขอรถเข็นของรอไปอีกครึ่งชม.ก็ยังไม่มาต้องกระเตงทั้งลูกคนโตและลูกในท้องพร้อมสัมภาระลงมาเอง ห่วยแตกมาก,1,Bangkok Hospitol,"Expensive medical bills that come up every time. But the service is very poor. Notification to return home since 11:00. I had to wait, wait, wait, here Yonder financial statements, medical bills. It has returned 16.00 true. I think the room did not match the reality. Let's wheelchair to wait another half hour had not yet come to convey the eldest child and baby and luggage down to the very poor."
แต่ก่อนมาบ่อยแล้วเปนคนที่ไม่ชอบขับไปจอดบนลานจอด มึนหัวจึงชอบที่จะจอดลานจอดด้านหลัง แต่เดี๋ยวนี้เปลี่ยนไป จอดไม่ค่อยได้ แท๊กซี่จอดส่วนใหญ่ แถมกร่างมาก จะจอดบอกจอดไม่ได้ ที่ของแท๊กซี่ เป็นนโยบายใหม่ของทางโรงพยาบาลเหรอครับ กร่างจนน่าเกลียด บอกเลยว่าไม่ประทับใจกับการบริการ,1,Bangkok Hospitol,But often it is the people who do not like parking on the apron. Dizzy so prefer to park in the back parking lot. But now changed Parking rarely Taxi parking lot to park the draft but did not tell the park. The fleet It is the policy of the hospital waiting. Drafting and ugly Tell me that is not impressed with the service.
บางครั้งรอคิวจ่ายเงินและคิวยาค่อนข้างนาน,5,Bangkok Hospitol,Sometimes the waiting queue and pay for a drug.
การบริการรวมๆแล้วดีค่ะ มีความสะอาด มาตรฐานค่ะ..ประทับใจพยาบาลก็น่ารักค่ะ,5,Bangkok Hospitol,The service already has a good standard clean it.. It was pretty impressive Hospital.
สถานที่หรูมาก บริการเป็นเลิศ เเต่เเพงสุดยอดด,4,Bangkok Hospitol,The more upscale Service Excellence But some undergrowth Top.
ทุกคนในครอบครัว เป็นคนไข้ประจำที่ รพ สาขากรุงเทพฯ,4,Bangkok Hospitol,All in the family A regular patient at the hospital in Bangkok.
ผมใช้บริการ รพ.กรุงเทพมา10กว่าปีรู้สึกประทับใจคุณหมอ พยาบาล เจ้าหน้าที่ และปีต่อๆไปผมและเพื่อนๆก็จะมาใช้บริการต่อไปครับ.,5,Bangkok Hospitol,"I use the services hospital in Bangkok for 10 years, was impressed doctors and nursing staff following years, I and my friends will come to next."
ปลื้มมากค่ะ เริสสส ทั้งการต้อนรับพยาบาลพูดเพราะๆ ทั้งนั้น อีกอย่างรวดเร็ว สุดยอด,5,Bangkok Hospitol,"Very happy start to Post hospitality and nurses say, because I know it's fast."
เมื่อวานไปตรวจสุขภาพและมีนัดตรวจกับแผนกหัวใจเต้นผิดจังหวะมาค่ะ ประทับใจแผนกตรวจสุขภาพมากๆ ยิ้มแย้มแจ่มใส มีหัวใจบริการ ให้บริการดุจญาติมิตร ส่วนแผนกหัวใจเต้นผิดจังหวะ บริการดี ให้ข้อมูลครอบคลุมและคลายความกังวลใจในการรับบริการตรวจเฉพาะทาง การดูแลเอาใจใส่จากอาจารย์หมอและคุณพยาบาลดีมากๆค่ะ ประทับใจ,4,Bangkok Hospitol,"Yesterday the health department and the appointment excitable come. Very impressive health department beaming Heart Services Serving as a mourner The department excitable Service provides comprehensive and concern not only in the examination. Care for teachers, doctors and nurses very good impression."
ครอบครัว ตระกูลย์ เฮงเส็ง ได้รับการรักษาที่ รพ.นี้เป็นประจำ คุณหมอที่ดูแลก็มีคุณหมอสุรชัย (ยุรกรรม)คุณหมอวิทยา (หัวใจ) คุณหมอชาญพงษ์ (ศูนย์สมอง) คุณหมอทุกท่านดูแล เตี่ย และ แม่ ของพวกเราดีมากบอกตรงๆทุกครั้งที่เรามา รพ.นี้เราประทับใจในการต้อนรับ ของคุณหมอ พยาบาลและทุกๆท่านดีมากค่ะ,4,Bangkok Hospitol,"Heng Seng's family had been treated. Hospital on a regular basis The doctor in charge was Dr. Surachai. (European automobile), Doctor of Science (heart) Dr. Chan Pong (brain), your doctor will take care of the mother and father are very well tell you every time we come. Hospital, we are impressed by the hospitality of doctors, nurses and everyone very good."
ไปตรวจแผนกตา นัดไว้ 9.45 น. ได้ตรวจ 11 โมง ถ้าไม่ไปถามว่าเมื่อไหร่จะได้เข้าตรวจคงต้องรออีกนาน,2,Bangkok Hospitol,Check the front eye appointment 9.45.'Ve 11 hours to ask if you do not know when to enter would have to wait a bit longer.
เจาะเลือดแล้วไม่ส่งตรวจ เพราะ เราปฏิเสธไม่นอนโรงพยาบาล (แต่โดนเสียเงินค่าเจาะไปแล้วนะ) แถมโดนหลอกให้มาฟังผลเลือดเพื่อหลอกเอาเงินค่าหมออีกรอบ ใครมาแผนกอายุรกรรม ระวังไว้!!,1,Bangkok Hospitol,"The blood was not tested because we can not deny admission. (But I lose money on drilling to me) pretend to listen to the blood money to fool the doctor again. Department of Medicine, who was careful !!"
มานอนรักษาตัวที่นี้ช่วงเทศกาลกินเจ อาหารเจอร่อย บริการดีมากๆ,5,Bangkok Hospitol,"Was admitted to the festival is the food delicious, the service is very good."
หมอที่นี่ทุกคน รักษาสิวดีมากเลยครับ รักษาแล้วหน้าดีขึ้นมากเลยครับ หน้าใสขึ้น รอยแผลเป็นจางลงเเละค่อยๆๆ หายไป ประทับใจครับ ของผมที่รักษาได้ #คุณหมอหทยา,5,Bangkok Hospitol,Every doctor here Acne very good Keeping your face is so much better now face the scars fade gradually disappeared were not impressed by my treating doctor for a # Taya.
พนักงานรับโทรศัพย์ของโรงพยาบาลแย่มากบอกเลยโทรไปขอแพคเกจฝากครรภ์และคลอดนางตัดสินใจแทนหมอและพยาบาลหมดเลยแย่จริง (เราไม่มีนโยบาลให้แพคเกจและส่งอีเมลให้นะค่ะคงให้ไม่ได้) พอสันที่21กค ไปตรวจครรภ์กาตั้งท้องกับหมอและตั้งใจจะฝากท้องที่นั้นเลยได้สอบถามหมอและพยาบาว่า (พี่ได้โทรมาขอแพคเกจฝากครรภ์ทำไมถึงให้ไม่ได้เพราะทุกครั้งที่ขอคุณจะจัดสงให้ตลอดทำไมครั้งนี้ขอไม่ให้ละ????) =พยาบาลแจ้งว่า ทางเราส่งให้นะค่ะไม่ได้ห่วงเลยเพราะดูจากประวัติคณเป็นลูกกับทางเรานานแล้ว คือบ่อยครั้งมากด้านงานบริก...,1,Bangkok Hospitol,"The operator of the hospital telephone call to say terrible package prenatal care and childbirth, she decided instead of doctors and nurses, it's really bad. (We have no policy governance package and email it to me but to not), it's on 21 July to prenatal check pregnant with doctors and intend to ฝaktgag that it had asked the doctor and the medicine, Bavaria. (I got a call asking why the ANC package is not because every time you request will be sent to all of this, why would not I ????) = nurse said. We send them to not worry about it because you look at the history of a child with us a long time ago. Is very often the work it ..."
เรารักษาตัวอยู่ทีนี้ คุณหมอทีดูแลเคสเรา ท่านน่ารักมากและยังใส่ใจในเรื่องการใช้จ่ายในการรักษาให้เรา ใจเย็นแถมพูดจาเพราะ ชอบอาจารย์หมอคนนี้มากมาย. รัก ไลท์ เลิฟ เลย คร่ะ บอกเลยรักท่านทีสูดดดดดด ขอบคุณมากๆน่ะคร่ะ หมอในฝันยังมีอยู่จริง. และพยาบาลน่ารักทุกคนคร่ะ,4,Bangkok Hospitol,"Our treatment is now The doctor in charge of the case, we I love and care about the cost to treat us. He spoke calmly, because Like many teachers, doctors now. Love Light Love all the emotions that I love you inhale the red card. Thank you very much between a Dream still exists. Cute nurse and all the emotions."
เป็นครั้งแรกที่ได้มาใช้บริการที่โรงพยาบาลกรุงเทพ ส่วนใหญ่แล้วจะพาคนรู้จักมาหาหมอมากกว่า คราวนี้ถึงตัวเอง แต่แล้วด้วยความตั้งใจ และรีบทุกอย่างที่ต้องมาหาหมอ ลืมทุกอย่าง ทั้งบัตรทุกบัตร และเงินสด เราขับรถมาจากต่างจังหวัด รู้ตัวอีกทีก็ถึง กทม. แล้ว จึงรู้ว่าลืม จึงหาทางแก้ปัญหา เลยโทรปรึกษาโรงพยาบาล ทางแก้ไขได้ก็คือ 1. การทำบัตรคนไข้ ที่ต้องใช้บัตรประชาชน ...,4,Bangkok Hospitol,"The first had come to the hospital. Most people I know would rather see a doctor. This time to yourself But then, with the intention And do everything I have come to forget all the cards, all cards and cash are driving in from the provinces. Realizing it again to Bangkok and knew what I had to find a solution. Call your local hospital 1. The fix is ​​to make the patient card. The need for public ..."
ถือว่าโอเครล่ะชอบที่มีเจ้าหน้าที่โทรตามนัด....บางครั้งเราก็ลืมวันนัดคะ...การเเนะนำของคุณหมอก็ดีนะเเต่อาจจะให้คำเเนะนำเพิ่มเติมพิเศษมากขึ้นได้อีก...,4,Bangkok Hospitol,It's just like the officials call the shots .... sometimes we just forget it ... I think I bring to your doctor may be fine but the HOMERegisterInstructions more special. more...
บริการดี แพทย์เชี่ยวชาญ เครื่องมือครบทันสมัย,4,Bangkok Hospitol,Specialized medical services Plant modernization
บริการประทับใจมากๆ ดูแลเทคแคร์ ผู้มาใช้บริการ อย่างดี เอาใจใส่มากๆ,5,Bangkok Hospitol,Service was very impressed care Care service users care very well.
พูดจาตะคอกใส่คนไข้คืออะไรค่ะนั่งรอก็นานเสียค่ายาก็แพงมากบริการอย่างนี้หรอเสียความรู้สึก,2,Bangkok Hospitol,"What is it saying snapped patients waiting too long to lose the drug was very expensive service, so I feel bad."
ประทับใจตั้งแต่ย่างก้าวลงจากรถจนขึ้นรถกลับบ้านค่ะ,5,Bangkok Hospitol,Impressed since stepping off the bus until the bus back home.
ไม่ได้พักผ่อน เพราะมีการก่อสร้างปรับปรุงพื้นที่อาคาร,2,Bangkok Hospitol,"Does not rest Because of the construction, building renovations."
บริการดีใช้ได้พยาบาลพูดดีมีน้ำใจบริการเร็วเจาะเลือดก็ไม่เจ็บ,4,Bangkok Hospitol,"Ambulance service is well spoken, thoughtful service, fast blood was not hurt."
ผมมาตรวจตั่งแต่2ทุ่มป่านนี้ยังไม่ถึงไหนเลยครับ,2,Bangkok Hospitol,I Come From 2 o'clock until now it has not reached here.
บริการดีค่ะ คุณหมอดูแลดี พยาบาลคอยเอาใจใส่ดีค่ะ,5,Bangkok Hospitol,"Good service, good medical care, nursing care are good."
ผมพาลูกมาแอดมิทที่โรงพยาบาลกรุงเทพขอนแก่น. ไม่ได้พักผ่อนดีเลยครับ เพราะมีการปรับปรุงต่อเติมตัวอาคารที่ชั้น8 เสียงดังมาครับ คุณหมอบอกให้ลูกผมพักผ่อนเยอะๆ แต่เจอแบบนี้แย่มากเลยครับ,2,Bangkok Hospitol,I gave him the ball at Khon Kaen Hospital. It does not rest well It has improved the addition of a building on the 8th floor. My voice out The doctor told me to rest a lot of balls. But it is much worse now.
รักมากโรงพยาบาลนี้,5,Bangkok Hospitol,Love this hospital
บริการดีประทับใจ,5,Bangkok Hospitol,Good impression
บริการยอดเยี่ยมครับ เจ้าหน้าที่เก่งพูดได้หลายภาษา,5,Bangkok Hospitol,Excellent service here Officials excel multilingual
"ห้องพักและอาหาร ไม่เหมาะสมกับราคา ห้อง 17,000 บาท/คืน เตียงเด็กเล็กและเก่า โซฟาเล็ก ญาตินอนไม่สบาย อาหาร เทียบกับห้องสแตนดาร์ดของรพ.อื่นยังไม่ได้เลยคะ",2,Bangkok Hospitol,"Room and board Not the price of 17,000 baht / night bed sofa, small children and older relatives sick with food compared to the Standard, the hospital also did not do it."
ดีครับ วาเลส์ รับรถ ดีมากครับ ห้องน้ำสะอาดมากครับ,4,Bangkok Hospitol,"Good Valais been very good, clean bathrooms too."
คุณหมอ ใจดีมีคุณภาพค่ะ พยาบาลดูแลและปฏิบัติตามระเบียบตามคำสั่งของคุณหมอค่ะ,4,Bangkok Hospitol,You kind of quality here Nursing care and comply with the instructions of the doctor here.
ทุกอย่างดีทีาสุด..ทั้งทีมแพทย์..การพยาบาล..รวดเร็ว,5,Bangkok Hospitol,Tia far everything is fine.. The medical team.. Nursing.. Fast.
น้องสาวและแม่เป็นคนไข้ที่นี่ เวลาเกิดอะไรจึ้นก็จะนึกถึงก่อนที่อื่นเลย,4,Bangkok Hospitol,Sister and mother was a patient here. Aries What time is it in mind before anything else.
พยาบาลบริการดีมาก พูดจาไพเราะ บริการรวดเร็วคุณหมอให้คำปรึกษาดี ระเอียด ทุกครั้งที่ไปโรงพยาบาลนี้ รู้สึกประทับใจมากค่ะ,5,Bangkok Hospitol,"Ambulance service is great, fast service eloquence doctor counseling a little time to this hospital. I was very impressed"
ไปแล้ว แต่หมอกลับแล้ว..เราไปถึงช้า..ทำไงล่ะรีบแล้วนะแต่ไม่ทัน..เหงาเลย..พยาบาลน่ารักมาก..ช่วยทุกวิถิทาง..นัดให้ใหม่ปลอบใจ..เอาละครั้งหน้า,4,Bangkok Hospitol,"But the doctors back then.. We arrived late.. Do not hurry me, but I.. I think.. Nursing is very cute.. Virtually every simple statistical way.. Calling for a new console.. Well, once. page"
ไปตรวจสุขภาพ บรรยากาศเหมือนไปแข่งโอลิมปิค ไม่รู้จะรีบร้อน ร้อนรน เร่งรีบ อะไรนักหนา ต้องวิ่งไปแผนกนี้ แผนกนั้น พนักงานก็มั่วๆไงไม่รู้ เข้าใจนะว่าคนเยอะ แต่ควรทำแบบมืออาชีพหน่อย คนใช้บริการมีทั้งคนไทยและต่างชาติ แต่บริการยังห่วยๆเหมือนเดิม ต่างกับค่าบริการยังแพงเหมือนเดิม,2,Bangkok Hospitol,To a medical examination to Olympic-like atmosphere. What's So do not hurry impatient haste to run to the front desk staff was very dull stuff. I understand that a lot of people But it should be done professionally. People using the service are both in Thailand and overseas. But the service is still the same crap. The charges are not the same.
ผมอยากรู้การแก้ไขปัญหาบอดสีควรทำยังไงครับแต่ของมีปัญหาสีแดงอ่ะครัย,4,Bangkok Hospitol,"I do not know what to do to fix colorblind, but it's a red Creches."
บริการดีประทับใจ รักษาที่นี่มา20กว่าปี ดีมากค่ะ,5,Bangkok Hospitol,Good impression Treatment here over 20 years ago very good.
ประทับใจในคุณหมอโดยเฉพาะอาจารย์หมอโยธิน...พยาบาล..และเจ้าหน้าที่ทุกๆท่านที่ให้บริการเป็นอย่างดีเยี่ยม,4,Bangkok Hospitol,"Impressed by your doctor, especially teachers, doctors, nurses ... Yothin.. And every officer serving as well."
คุณหมอ 2-3 ท่านช่วยกันดูแลเคส รักษาเอาใจใส่รายละเอียดดีมากครับ แต่ตอนลงจากแท็กซี่คนไข้ขาแพลง ไม่มีจนท.นำรถเข็นมาให้ต้องเดินกะเผลกจนถึงเคาท์เตอร์ นอกนั่นเยี่ยมมากๆครับ,4,Bangkok Hospitol,Your doctor can help take care of the case 2-3. Pay attention to keeping the details very well. But from the patient's leg sprain taxi. Until no. Brought a wheelchair to walking with a limp to the counter. The visit was very much
ไม่รู้ว่าคิดไปเองรึป่าวนะคะ ว่ามารพ.นี้แล้วได้รับการบริการอย่างดี ยาดี หายป่วยเลยไม่เรื้อรัง☺️,5,Bangkok Hospitol,"I thought to myself that I did it. That the hospital has already been well served, good medicine is not cured chronic ☺️."
ให้รอนาน 3 ชั่วโมง ต้องเดินไปตาม 2 รอบ ไม่งั้นก้ยังไม่ได้ตรวจ ควรปรับปรุงการบริการมากคะ,2,Bangkok Hospitol,"Wait for 3 hours to walk the second round so I did not check. Poor service, very good"
เครื่องมือครบ อุปกรณ์พร้อมและทันสมัย คุณหมอดูแลดี,5,Bangkok Hospitol,plant Well equipped and modern medical care.
ชอบค่ะ เคยมีโอกาสได้เข้าไปเยี่ยมเพื่อน บริการดี สะอาด อุปรณ์ครบ ทันสมัย อยากให้มีรพ.กรุงเทพ ไปเปิดสาขาที่ จ.นนทบุรี หรือ บางใหญ่บ้างค่ะ,4,Bangkok Hospitol,"I have had the opportunity to visit friends, good service, clean Device Due to a modern hospital in Bangkok. To open a branch in Nonthaburi. Nonthaburi or do not."
สะอาด โล่ง โปร่ง บุคคลากรดีมีคุณภาพ คุณหมอน่ารักเป็นกันเองให้คำปรึกษาได้ดีมากค่ะ ค่าห้องแพงไปคะ ภาพโดยรวมถ้าจะให้ดีเยี่ยมกรุณาปรับค่าห้องลงจะเป็นพระคุณอย่างสูงค่ะ,5,Bangkok Hospitol,"Clean, spacious, well-qualified personnel. Dr. lovely friendly consultation was very good. Rates are too expensive Overall it is a great room to be a sponsor, please adjust it highly."
งง...??!!!กับการจัดการคิวมากมายค่ะ...???? พาลูกไปหาหมอเมื่อวาน...10โมงกว่าได้ตรวจเกือบเที่ยง...!!!! นั่งรอแบบมึนๆ...งง...??? รบกวนจัดระบบคิวให้ชัดเจนเถอะค่ะ...ว่าเร็วช้าแค่ไหนความอดทนของเด็กและผู้ใหญ่ต่างกันค่ะ...สงสารลูก..,2,Bangkok Hospitol,What ?? !!! ... a lot of it ... ???? Queue Management Take children to the doctor yesterday ... 10 am've almost noon ... !!!! Wait a little confused ... confused ... ??? Disturbing the queue system to make it clear that ... it's just slow speed tolerance of children and adults as well ... poor baby ..
เมื่อวันที่15ต.คได้ไปโรงพยาบาลมาคุณหมอและคุณพยาบาลและคนอื่นดูแลฉันดีมากขอบคุณมากๆๆนะคะ,5,Bangkok Hospitol,"On 15., Has come to the hospital, doctors and nurses and other people I care very much appreciate it."
ดีมากค่ะคุณหมอปรมาภรณ์น่ารักมากเลยค่ะเจ้าหน้าที่บริการดีมากค่ะ,5,Bangkok Hospitol,"Very good doctor to global Porn very good service, very good staff."
สะอาด ใหญ่โต กว้างขวาง ดูแพง.. คุณหมอเก่งมากและให้คำแนะนำที่ชัดเจน กระจ่าง ไปตรวจวัดสายตามา เครื่องตรวจแต่ละตัวมาตรฐานสากล และวัดได้ละเอียดดีมากค่ะ ส่วนในเรื่องของสถานที่นั้นกว้างขวาง เดินหลงกันเลยทีเดียว กว่าจะหาลานจอดชั้น 5 เจอคือ งง เดินวนไปวนมา แต่ทั้งพยาบาลและ บุรุษพยาบาลคือน่ารักมาก ช่วยบอกทางเรา บอกจนหาทางกลับถูกอะ คือเข้าใจและว่าอืม ทำไมที่นี่ถึงมีต่างชาติมาใช้บริการ เพราะมาตรฐานเค้าดีจริงๆ ส่วนในอนาคตไม่รู้เหมือนกันว่า จะมีโอกาสได้ใช้บริการอีกไหม เพราะราคาก็แทบจะขายนากันเลยทีเดียว ..,4,Bangkok Hospitol,"Clean immense expensive .. You are very clear and give clear instructions to the optical sensor. Each detector standards And a very good resolution. For the sake of the place is spacious. Wandering ever It is just across a parking lot, 5th floor corridor of the bush, but the nurses and. Nurse is very cute Tell us I was told to find a way back. Well that is understandable and This is why the foreign service. Because it's really good standard In the future, I do not know. Will have the opportunity to use the service again. Sale price because it hardly ever .."
ดีเลิศ ยินดีที่ให้บริการ เรารับจัดงานเลี้ยง งานสัมนา งานแต่งงาน ทัวร์ งานอีเว้นต่างๆ บริการอาหารรสเลิศ พร้อมเครื่องดื่ม บรรยากาศสบายๆๆราคาเบาๆๆ เป็นกันเองอยู่ใกล้กับสวนหลวง ร.9 สนใจติดต่อเรา 093-232 8297(แพ็ตตี้) ผู้ช่วยผู้จัดการ ฝ่ายการวางแผนการจัดเลี้ยง คิดจะทานคิดถึงไทเรียว วอเตอร์วิว เลขที่4 ถนนเฉลิมพระเกียรติ ร.9 ซอย45 แขวงหนองบอน เขตประเวช กรุงเทพ10250,5,Bangkok Hospitol,"Perfectly happy to serve We arrange seminars, banquets, weddings, tours and events. Fine Dining With drink The cozy little more gently. Friendly hotel is close to Suan Luang Rama. 9, 093-232 8297 Please contact us (Patty) assistant manager. Department of Planning Catering I will take my time with slender Waterloo Road No. 4 King Rama 9 Road. Soi 45 Bangkok 10250 Nongbon the hospital."
บริการดีครับ ถ้ามีปัญหาอะไรน่าใช้บริการที่สุดครับ,5,Bangkok Hospitol,Good service if a problem is the service most.
บริ บริการดีมากๆพยาบาลเจาะเลือดไม่เจ็บเลย,3,Bangkok Hospitol,Bristol Hospital offers a good blood does not hurt at all.
พาสามีมาผ่าตัดที่โรงพยาบาลนี้คุณหมอเก่ง ยาดี หายเร็ว แผลผ่าตัดเล็กนิดเดียวสุดยอดเลยค่ะ,5,Bangkok Hospitol,"Her husband had surgery at the hospital, the doctor is very good medicine, surgical wounds heal faster wee's it."
เราเป็นคนไข้ ที่โรงพยาบาลนี้ กันทั้งครอบครัวค่ะ ชอบที่นี้ มีหมอ ที่เป็นพาษา ญี่ปุ่น คุยกับ คนไข้ เข้าใจ ค่ะ สามีเรา เป็น คนญี่ปุ่นค่ะ เราเป็น คนไข้ ที่นี้มา มากกว่า 20ปี่แล้ว จนถึงทุกวันนี้,4,Bangkok Hospitol,"We are a patient at this hospital. My whole family likes to have a doctor who led the study of Japanese patients with my husband, we understand that we are a Japanese patient who is over 20 years old today."
ประทับใจทุกอย่าง ทุกครั้งที่ใช้บริการ แต่ พนักงานผู้หญิงลงคิวเรียกแท็คซี่ ช่วยยิ้มหน่อยมั้ย นอกนั้นชอบหมด ยังไงก็หาแต่ที่นี่แน่นอน,5,Bangkok Hospitol,"All impression Every time you use the service, but the staff into a call queue Tag Agency. Help me smile Then I put I would definitely find it here."
รู้อุ่นใจที่เข้ามารักษา ต้อนรับบริการดีถ้าอุ้มได้คงอุ้มขึ่นเตียงแล้ว(แม่เรา),5,Bangkok Hospitol,"I feel that to maintain Well, if the reception is held constant, then scooped up the bed (our mother)."
ไว้ใจมานานค่ะ ไม่ว่าจะป่วยหนักป่วยน้อย ไว้ใจที่นี่เท่านั้นค่ะ บริการดีเยี่ยม ประทับใจทุกครั้ง,4,Bangkok Hospitol,Trust for me Whether less intensive care patients. Trust is only Excellent Service At all times
