comment,score,hospital,en
อาจารย์หมอใส่ใจคนไข้ดีมาก พยาบาลสวยๆเยอะ มารยาทดีงาม สถานที่สะอาด โล่ง ไม่รู้สึกว่าแย่มากขึ้นเมื่อเข้าไปถึงที่นั่น แต่อย่าไปนึกถึงคนมีหุ้นส่วนน่ะต้องรู้จักแยกแยะ,3,praram-9-hospital,"Care very patient teacher Nurse pretty good manners, good location, clean air does not feel too bad when you get there. But do not think the partners would have to recognize."
คลอดน้องที่นี่ค่ะบริการดีมากเลยค่ะตอนนี้น้อง6ขวบแล้วค่ะถ้าจะมีน้องอีกคงคลอดที่นี่ค่ะไกล้บ้านเดินทางสะดวก,5,praram-9-hospital,"Here's delivery service is very good, now 6 years younger then me, if I would have been born again here, conveniently close to the house."
บริการดีมากๆ,4,praram-9-hospital,Very good service
บริการดี,4,praram-9-hospital,good service
เข้าห้องน้ำแล้วเจอที่เก็บปัสสาวะ + ปัสสาวะของคนไข้เก่าในห้องน้ำ ธุรกรรมการเงินก็นาน แจ้งออกตั้งแต่ก่อนเที่ยง กว่าจะทำเรื่อง กว่าจะได้ออกก็บ่ายสาม ช้ามากจริง,2,praram-9-hospital,Then go to the bathroom to collect urine: the urine of patients older toilet. Financing for the transaction was Out before noon To do It was the ninth out very slowly indeed.
บางครั้งรอนานไปหน่อย,4,praram-9-hospital,Sometimes wait a little longer
คุณหมอเอาใจใส่ดี,4,praram-9-hospital,You feel good
โรงพยาบาลมีคุณภาพ ลุวิชาแข็งแรงเช่นเดิมแน่,1,praram-9-hospital,Hospital quality Group of athletic like me
บริการที่นี่ดีมากตั้งแต่รับเราลงจากรถเลย เวลาไปหาไรไม่เจอมีคนไปส่งตลอด พยาบาลดีแต่มีบางวันบางคนที่ยังไม่โอเคเท่าที่ควร แต่คุณหมอใจดีมาก ดูแลดีมาก แต่คุณต้องรับมือกับค่ารักษานิดนึง,5,praram-9-hospital,"Service here is very good since we get out of the car yet. I do not have time to go round. Nurses are good, but some people are not as they should be okay. You are very kind, but care very well but you have to cope with a little therapy."
บริการดีใช้ได้ ค่าบริการสมเหตุสมผล,4,praram-9-hospital,Good service available Reasonable Fee
บริการดี ใช้ประกันกลุ่มบริษัทได้ ช่วงนี้ป่วยบ่อยเลยไปซะชินทาง ฮือ,5,praram-9-hospital,Service Insurance Group. The patient often has to get used to the sensation.
คุณหมอพงศธร คุณหมอรักษาอาการหูดับ คือการได้ยินลดลงกว่า40% คุณหมอค่อยๆอธิบายขั้นตอนการรักษาอย่างละเอียด ค่อยๆให้ยาตลอด4 เดือนจนหายเป็นปกติ,5,praram-9-hospital,"Dr. Pongsatorn doctors treat ear off. The hearing is reduced by more than 40%, the doctor gently explained the procedure carefully. The gradual dose 4 Months until healed"
บริการดี  ดูแลเหมือนญาติ คุณหมอสามารถให้คำตอบเราได้ทุกข้อที่เราสงสัย,5,praram-9-hospital,Good care like relatives You can answer all the questions that we have our doubts.
หมอตรวจละเอียด อธิบายอาการดีมาก พยาบาลมีมารยาทและจ่ายยาเร็ว,5,praram-9-hospital,Doctor profile Explain very well Nurses dispense with courtesy and speed.
บริการได้ดีมากครับ มีการต้อนรับที่ดี สะอาดดูมีมาตรฐาน,5,praram-9-hospital,Service was very good A good reception See clean standards
บอกไม่ถูกรู้สึกดีมากแค่นี้,3,praram-9-hospital,I do not feel very well just now.
คุณหมอให้คำปรึกษา และแนะนำดีมาก พยาบาลก็ดูแลช่วยเหลือคนไข้เป็นอย่างดี ให้บริการด้านการเช็คสิทธิของประกันสุขภาพและประกันอุบัติเหตุอย่างเต็มใจ ช่วยให้คนไข้คลายกังวลเรื่องค่ารักษาพยาบาลค่ะ,5,praram-9-hospital,Doctor consultations Better and more Nursing care for patients as well. Check the provider of health insurance and accident insurance voluntarily. Help patients relieve concerns about my medical bills.
เป็นไข้หวัด ไปรักษาที่โรงพยาบาล9 บริการดี รวดเร็ว แต่ข้อเสียคือค่ารักษาแพง แต่ก็คุ้มค่ากับบริการ,4,praram-9-hospital,"Flu to hospital nine service is fast, but the downside is the expensive treatments. But it's worth it to service"
เป็นคนสุขภาพไม่ค่อยแข็งแรงก็จะเข้าออกโรงบาลบ่อยและหลายโรงบาลด้วย..แต่ประทับในที่นี่เพราะบริการดี..ใส่ใจ..สะอาด..เครื่องมือ ทันสมัย.,4,praram-9-hospital,"Health is not strong, it will debut governance and frequent hospital with several.. I sat in here because of the good service.. Pay attention.. Clean.. Modern tools."
ครอบครัวไปหาคุณหมอที่นี่ประจำค่ะ คุณยายล้างไตอาทิตย์ละ 3 ครั้ง ที่นี่เชี่ยวชาญในเรื่องการรักษาไต เป็นอันดับต้นๆของประเทศค่ะ ประทับใจการดูแลของคุณหมอและนางพยาบาลค่ะ เนื่องจากคุณยายมีชื่อเป็น waiting list ในการรอเปลี่ยนไตอยู่มานานและเคยเจอ matching ได้ แต่คุณยายโชคร้ายที่พอคุณหมอเปิดไตมาแล้วไตใช้ไม่ได้ คุณหมอสามารถรักษาคุณยายให้กลับฟื้นคืนปกติได้เหมือนเดิม อีกยังมีการอธิบายให้ครอบครัวอย่างชัดเจนเป็นขั้นเป็นตอนว่าเกิดอะไรขึ้นในห้องผ่าตัด และทำไมไตที่ได้มาใช้ไม่ได้ แล้วคุณหมอก้อยังอธิบายถึงสภาวะหัวใจของคุณยายได้ละเอียดมากๆ ถึงแม้การผ่าตัดครั้งนี้จะไม่สำเร็จ เราก้อยังได้คุณยายกลับมา ถึงแม้ไตจะใช้ไม่ได้ เราก้อยังมีความหวังกันค่ะ,4,praram-9-hospital,"The family went to the doctor for me here. Grandma dialysis three times a week, which specializes in dialysis treatment. The top of the country. Impress your care doctor and nurse it. The grandmother, whose name is on the waiting list for a kidney transplant is long and ever matching her grandmother, but unfortunately when you have already opened the kidney, kidney unusable. You can treat your grandma to be restored to normal again. He also explained that the family is clearly a step by step what happens in the operating room. Why not come and kidney unusable. Then the doctor would also describe the condition of the heart grandmother is very detailed. Although the surgery was not successful. I guess you have to move back. Although the kidney unusable. I hope we still have each other."
